id,survey_item,response
d7442b1833,"In general, I think this is a good course",Strongly agree
adcde7da96,I think I learned a lot from this course,Strongly agree
adcde7da96,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
adcde7da96,I think the content on the website clearly communicated the concepts,Strongly agree
adcde7da96,I think the instructors clearly communicated the concepts,Strongly agree
adcde7da96,I think there was good alignment between the learning activities,Strongly agree
adcde7da96,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
adcde7da96,"In general, I think this is a good course",Strongly agree
ebcb368c30,I think I learned a lot from this course,Agree
ebcb368c30,I think there was a good mix of learning activities that encouraged my active participation,Neutral
ebcb368c30,I think the content on the website clearly communicated the concepts,Strongly agree
ebcb368c30,I think the instructors clearly communicated the concepts,Strongly agree
ebcb368c30,I think there was good alignment between the learning activities,Agree
ebcb368c30,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
ebcb368c30,"In general, I think this is a good course",Strongly agree
ab5c5a0d97,I think I learned a lot from this course,Agree
ab5c5a0d97,I think there was a good mix of learning activities that encouraged my active participation,Agree
ab5c5a0d97,I think the content on the website clearly communicated the concepts,Strongly agree
ab5c5a0d97,I think the instructors clearly communicated the concepts,Strongly agree
ab5c5a0d97,I think there was good alignment between the learning activities,Strongly agree
ab5c5a0d97,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
ab5c5a0d97,"In general, I think this is a good course",Strongly agree
bb657daf91,I think I learned a lot from this course,Agree
bb657daf91,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
bb657daf91,I think the content on the website clearly communicated the concepts,Strongly agree
bb657daf91,I think the instructors clearly communicated the concepts,Strongly agree
bb657daf91,I think there was good alignment between the learning activities,Strongly agree
bb657daf91,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
bb657daf91,"In general, I think this is a good course",Strongly agree
0724daec42,I think I learned a lot from this course,Strongly agree
0724daec42,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
0724daec42,I think the content on the website clearly communicated the concepts,Strongly agree
0724daec42,I think the instructors clearly communicated the concepts,Strongly agree
0724daec42,I think there was good alignment between the learning activities,Strongly agree
0724daec42,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
0724daec42,"In general, I think this is a good course",Strongly agree
125f7194d1,I think I learned a lot from this course,Strongly agree
125f7194d1,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
125f7194d1,I think the content on the website clearly communicated the concepts,Strongly agree
125f7194d1,I think the instructors clearly communicated the concepts,Strongly agree
125f7194d1,I think there was good alignment between the learning activities,Strongly agree
125f7194d1,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
125f7194d1,"In general, I think this is a good course",Strongly agree
9c94c60f17,I think I learned a lot from this course,Agree
9c94c60f17,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
9c94c60f17,I think the content on the website clearly communicated the concepts,Strongly agree
9c94c60f17,I think the instructors clearly communicated the concepts,Strongly agree
9c94c60f17,I think there was good alignment between the learning activities,Strongly agree
9c94c60f17,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
9c94c60f17,"In general, I think this is a good course",Strongly agree
a8210ae2fa,I think I learned a lot from this course,Strongly disagree
a8210ae2fa,I think there was a good mix of learning activities that encouraged my active participation,Strongly disagree
a8210ae2fa,I think the content on the website clearly communicated the concepts,Strongly disagree
a8210ae2fa,I think the instructors clearly communicated the concepts,Strongly disagree
a8210ae2fa,I think there was good alignment between the learning activities,Strongly disagree
a8210ae2fa,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly disagree
a8210ae2fa,"In general, I think this is a good course",Strongly disagree
553b98ab0e,I think I learned a lot from this course,Strongly agree
553b98ab0e,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
553b98ab0e,I think the content on the website clearly communicated the concepts,Strongly agree
553b98ab0e,I think the instructors clearly communicated the concepts,Agree
553b98ab0e,I think there was good alignment between the learning activities,Strongly agree
553b98ab0e,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
553b98ab0e,"In general, I think this is a good course",Strongly agree
36ddcbfc61,I think I learned a lot from this course,Neutral
36ddcbfc61,I think there was a good mix of learning activities that encouraged my active participation,Agree
36ddcbfc61,I think the content on the website clearly communicated the concepts,Strongly agree
36ddcbfc61,I think the instructors clearly communicated the concepts,Strongly agree
36ddcbfc61,I think there was good alignment between the learning activities,Agree
36ddcbfc61,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Neutral
36ddcbfc61,"In general, I think this is a good course",Neutral
b94db6307f,I think I learned a lot from this course,Strongly agree
b94db6307f,I think there was a good mix of learning activities that encouraged my active participation,Agree
b94db6307f,I think the content on the website clearly communicated the concepts,Strongly agree
b94db6307f,I think the instructors clearly communicated the concepts,Strongly agree
b94db6307f,I think there was good alignment between the learning activities,Agree
b94db6307f,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
b94db6307f,"In general, I think this is a good course",Strongly agree
9e98105432,I think I learned a lot from this course,Strongly agree
9e98105432,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
9e98105432,I think the content on the website clearly communicated the concepts,Strongly agree
9e98105432,I think the instructors clearly communicated the concepts,Strongly agree
9e98105432,I think there was good alignment between the learning activities,Strongly agree
9e98105432,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
9e98105432,"In general, I think this is a good course",Strongly agree
ef44410e49,I think I learned a lot from this course,Strongly agree
ef44410e49,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
ef44410e49,I think the content on the website clearly communicated the concepts,Strongly agree
ef44410e49,I think the instructors clearly communicated the concepts,Strongly agree
ef44410e49,I think there was good alignment between the learning activities,Strongly agree
ef44410e49,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
ef44410e49,"In general, I think this is a good course",Strongly agree
f1c4e1c003,I think I learned a lot from this course,Agree
f1c4e1c003,I think there was a good mix of learning activities that encouraged my active participation,Agree
f1c4e1c003,I think the content on the website clearly communicated the concepts,Neutral
f1c4e1c003,I think the instructors clearly communicated the concepts,Agree
f1c4e1c003,I think there was good alignment between the learning activities,Agree
f1c4e1c003,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
f1c4e1c003,"In general, I think this is a good course",Agree
ad1afad975,I think I learned a lot from this course,Strongly agree
ad1afad975,I think there was a good mix of learning activities that encouraged my active participation,Agree
ad1afad975,I think the content on the website clearly communicated the concepts,Strongly agree
ad1afad975,I think the instructors clearly communicated the concepts,Strongly agree
ad1afad975,I think there was good alignment between the learning activities,Strongly agree
ad1afad975,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
ad1afad975,"In general, I think this is a good course",Strongly agree
8f2a00f3b4,I think I learned a lot from this course,Strongly agree
8f2a00f3b4,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
8f2a00f3b4,I think the content on the website clearly communicated the concepts,Strongly agree
8f2a00f3b4,I think the instructors clearly communicated the concepts,Strongly agree
8f2a00f3b4,I think there was good alignment between the learning activities,Strongly agree
8f2a00f3b4,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
8f2a00f3b4,"In general, I think this is a good course",Strongly agree
664d465660,I think I learned a lot from this course,Agree
664d465660,I think there was a good mix of learning activities that encouraged my active participation,Agree
664d465660,I think the content on the website clearly communicated the concepts,Agree
664d465660,I think the instructors clearly communicated the concepts,Agree
664d465660,I think there was good alignment between the learning activities,Agree
664d465660,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
664d465660,"In general, I think this is a good course",Strongly agree
f155db47cb,I think I learned a lot from this course,Agree
f155db47cb,I think there was a good mix of learning activities that encouraged my active participation,Agree
f155db47cb,I think the content on the website clearly communicated the concepts,Agree
f155db47cb,I think the instructors clearly communicated the concepts,Agree
f155db47cb,I think there was good alignment between the learning activities,Agree
f155db47cb,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
f155db47cb,"In general, I think this is a good course",Agree
