id,survey_item,response
3edc8cd49c,I think I learned a lot from this course,Strongly agree
3edc8cd49c,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
3edc8cd49c,I think the content on the website clearly communicated the concepts,Strongly agree
3edc8cd49c,I think the instructors clearly communicated the concepts,Agree
3edc8cd49c,I think there was good alignment between the learning activities,Strongly agree
3edc8cd49c,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
3edc8cd49c,"In general, I think this is a good course",Strongly agree
e792ed3b9a,I think I learned a lot from this course,Strongly agree
e792ed3b9a,I think there was a good mix of learning activities that encouraged my active participation,Agree
e792ed3b9a,I think the content on the website clearly communicated the concepts,Agree
e792ed3b9a,I think the instructors clearly communicated the concepts,Agree
e792ed3b9a,I think there was good alignment between the learning activities,Agree
e792ed3b9a,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
e792ed3b9a,"In general, I think this is a good course",Strongly agree
91fd8e7d9d,I think I learned a lot from this course,Strongly agree
91fd8e7d9d,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
91fd8e7d9d,I think the content on the website clearly communicated the concepts,Strongly agree
91fd8e7d9d,I think the instructors clearly communicated the concepts,Strongly agree
91fd8e7d9d,I think there was good alignment between the learning activities,Strongly agree
91fd8e7d9d,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
91fd8e7d9d,"In general, I think this is a good course",Strongly agree
d951ebef20,I think I learned a lot from this course,Strongly agree
d951ebef20,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
d951ebef20,I think the content on the website clearly communicated the concepts,Strongly agree
d951ebef20,I think the instructors clearly communicated the concepts,Strongly agree
d951ebef20,I think there was good alignment between the learning activities,Strongly agree
d951ebef20,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
d951ebef20,"In general, I think this is a good course",Strongly agree
3cdaa603aa,I think I learned a lot from this course,Agree
3cdaa603aa,I think there was a good mix of learning activities that encouraged my active participation,Agree
3cdaa603aa,I think the content on the website clearly communicated the concepts,Agree
3cdaa603aa,I think the instructors clearly communicated the concepts,Neutral
3cdaa603aa,I think there was good alignment between the learning activities,Agree
3cdaa603aa,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Disagree
3cdaa603aa,"In general, I think this is a good course",Agree
1c9a50fb0a,I think I learned a lot from this course,Agree
1c9a50fb0a,I think there was a good mix of learning activities that encouraged my active participation,Agree
1c9a50fb0a,I think the content on the website clearly communicated the concepts,Agree
1c9a50fb0a,I think the instructors clearly communicated the concepts,Agree
1c9a50fb0a,I think there was good alignment between the learning activities,Agree
1c9a50fb0a,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Disagree
1c9a50fb0a,"In general, I think this is a good course",Agree
